word,meaning,s1,s2,s3,s4,s5
ascendancy,the state that exists when one person or group has power over another.,jim is an arrogant man who believes he has an ascendancy that allows him to order his wife around like a slave.,"as early as round three of the boxing match, frazier had created an ascendancy that permitted him to easily knock ali around the ring.",wealthy people believe they have an ascendancy that gives them the right to criticize the lifestyles of poor people.,"when jim became an elected official, he gained an ascendancy that allowed him to change the lives of many people in his community.",the position of president comes with an ascendancy that has the authority to speak on behalf of an entire nation.
desecrate,to willfully violate or destroy a sacred place.,having a party in a cemetery at night is one way to desecrate the resting place of the dead.,do not desecrate the temple by speaking loudly during your visit.,the graffiti artist hopes gangs will not desecrate his art by painting over it.,are you really going to desecrate the tribe’s burial ground by building a hotel on this property?,"although i have no wish to desecrate this holy book, i do want to separate the pages in order to verify the book’s date of creation."
ossify,make rigid and set into a conventional pattern.,my father’s opinion has started to ossify so i know he won’t change his mind.,"because elaine has an impulsive nature, she’ll never allow her behaviors to ossify.",this type of arthritis causes the joints to ossify to the point they become immobile.,"after tim joined the church, his beliefs about the afterlife started to ossify.","since the project is due tomorrow, anne needs to use glue that will ossify rapidly."
imbibe,to drink or absorb as if drinking.,best practice dictates that anyone who intends to imbibe alcoholic beverages should make sure to have dependable transportation to get home.,"despite being unable to imbibe cocktails with her friends, mariel probably had the most fun at the wedding reception.","every morning, i like to delay the start of the work day, go outside on the terrace, and imbibe large quantities of sunshine and fresh air.","if i imbibe too much soda, i find that i am troubled with extreme bouts of hiccupping.","even though we are told to imbibe plenty of water to stay hydrated and healthy, there have been cases where drinking too much water has been fatal for some people."
treacherous,tending to betray.,drivers are asked to stay home and avoid the treacherous icy roads.,"at night, the winding roads can make driving up the mountain a treacherous journey.",police officers should be paid more because working in law enforcement is a treacherous occupation.,"unless you are an expert skier, you should avoid the treacherous mountain known as the skier slayer.","since i have a fear of heights, all roller coasters appear treacherous to me."
inscrutable,not easily understood; unfathomable.,"when larry wrote the letter, he was so tired the writing was nearly inscrutable.",not even the leading experts in criminology could understand the killer’s inscrutable motives.,"in situations where evidence is lacking, some murder cases remain inscrutable forever.","because my father normally had an inscrutable look on his face, i rarely knew what he was thinking.","while the veteran football players understood the play, most of the rookies found it inscrutable."
volatile,liable to lead to sudden change or violence,"because mary and frank have a volatile relationship, they often argue.",sending the police inside will only make the hostage situation more volatile.,"if mark is not careful while driving the gasoline truck, he could create a volatile environment for his fellow drivers.",the couple’s volatile marriage ended with one of their murders.,"easily annoyed, the volatile old man often yelled at the neighborhood kids."
paragon,model of excellence or perfection of a kind; one having no equal.,"as a paragon of purity, a nun would never dress inappropriately.",the editors of the magazine described the supermodel as a paragon of beauty.,"when talking to the class, the teacher described john’s essay as a paragon that everyone should strive to reproduce.",the minister of my church is viewed as a paragon of virtue.,"since i am in poor health, i am not a paragon of wellness."
expunge,to eliminate completely.,i would like to expunge my ex-husband from my memory.,"because the court has decided to expunge my criminal record, there will be no evidence of my past misdeeds.",the president has the power to expunge any person’s criminal history in order to give that individual a fresh start in life.,"when i received the diamond ring from my husband, i felt the need to expunge any anger i previously felt towards him.",a chip was put inside the spy’s brain to expunge his memory so he would never recall any of his missions.
collusion,agreement on a secret plot.,"under the collusion between the crooked cops and the drug dealers, the officers receive fifteen percent of the drug profits.",the two anti-government groups are being charged for engaging in collusion to blow up the white house.,"before the collusion was exposed, the butler and the housekeeper had stolen over fifty thousand dollars from their employer.",the collusion between the two oil companies is being investigated by the justice department.,"if the two firms are found to be engaged in collusion, they will pay hefty fines for trying to steal from their shareholders."
undermine,to weaken (usually paired with an abstract term).,chloe hoped that her allergies were not going to undermine her ability to perform in the recital.,"when engineers came to examine the cracks in the structure of the building, they discovered that years of flooding had worked to undermine the foundation.",i had to cut down the beautiful willow tree because the roots were beginning to undermine the rock wall.,"while abby tried to be friends with the girls in the popular group, her twin brother was always trying to undermine her efforts by embarrassing her and saying dumb things.","because tammy always tried to undermine the principal’s authority by taking her complaints to the school board, her contract was not renewed at the end of the year."
goad,urge on with unpleasant comments.,"during lunch in the cafeteria today, my rival tried to goad me into a fight so i would get suspended from school.",my mother is going to try and goad her dog into getting off the bed by offering him a treat.,"as a teacher, joan was constantly looking for positive ways to goad her students into reading more.",the mobster used a picture of the bank president’s daughter to goad the official into robbing the bank.,"if someone is trying to goad you into a verbal conflict, sometimes the best thing you can do is simply walk away from that person."
pundit,someone who has been admitted to membership in a scholarly field.,"without a psychiatric pundit to testify on my client’s poor mental state, i doubt if the jury will believe an insanity defense.",john is the pundit in our science class who usually knows all the test review answers.,"although jill has never been to greece, she often speaks about the culture as though she is a pundit of the country.",the attorney is often asked to provide insight as a pundit for the primetime legal drama.,"during the trial, the prosecutor will call upon a pundit of forensics to link the evidence to the suspect."
philanthropy,"(n) efforts to improve the well-being of humankind, generally through giving money",my children realize helping others through philanthropy is much better than wasting money on foolish toys.,"when the billionaire engages in philanthropy, he changes the lives of people who have no hope.",the priest encouraged the members of his church to engage in pursuits of philanthropy so that no man would be in need.,"during the ceremony, the generous celebrity received an award for her philanthropy.",jackson’s philanthropy has resulted in a new wing being added to the children’s hospital.
cede,relinquish possession or control over.,"when matt became terminally ill, he had no choice but to cede control of his company to his daughter.",dan was happy his mother had no plans to cede her maternal duties because he hated doing laundry.,"because ann believed her new job kept her away from home too much, she decided to cede the position to her assistant.",the coach was forced to cede control of the team after he failed a drug test.,"since i can no longer afford to make car payments, i am going to cede ownership of the vehicle back to my lender."
presumptive,(adj) based on inference or assumption; providing reasonable grounds for belief,it is presumptive to jump to a conclusion without knowing all of the facts or aspects of the situation.,"it is both presumptive and rude to try and finish someone’s sentence for them, since it is the same as assuming their thoughts.","my girlfriend has always been pretty presumptive, jumping to conclusions about things before i have a chance to even explain myself.","it is presumptive to assume how a story that is being told is going to end, even if you’re already pretty certain of the conclusion.","if you assume how someone is going to behave or act, you are being presumptive and making an unfair assumption."
exhort,to strongly urge on; encourage.,"while i cannot force you to drive the speed limit, i exhort you to do so or else you might end up in jail.",a good leader will exhort people to achieve their own forms of greatness rather than try to force them on a certain path.,"in her monthly speech, the school counselor will exhort the students to plan for their futures so they will be prepared for life.",lobbyists make a living based on their ability to exhort others to do things they otherwise would not do.,"as a dear friend, i exhort you to eat well and exercise regularly so you will have a long life."
apprehension,fearful expectation.,i admit that i am feeling a great deal of apprehension after learning that we have a pop quiz in my worst subject.,most people feel apprehension prior to entering a situation they know they could be injured in.,there’s nothing i can do to quell the apprehension i have about showing my parents my bad report card.,most searched words (with,
impair,make worse or less effective,alcohol can greatly impair your judgement.,"certain drugs will impair your depth perception, making it unsafe to drive.",smoking cigarettes will impair your overall level of health.,a bad diet can impair your ability to perform athletically.,smoking pot is known to impair your reaction time.
crestfallen,brought low in spirit.,"after losing comrades in battle, several crestfallen soldiers cried in their tents.","when my husband learned his rival had gotten the promotion he wanted, he was crestfallen.",a crestfallen john did not know how to deal with being dumped by his girlfriend.,"after the big game, the crestfallen players of the losing team were silent in their misery.",the young politician was crestfallen after not winning the election.
discord,lack of agreement or harmony.,"knowing that discord is destructive in the classroom, the teacher wanted to foster a sense of community among her students.",there was discord amongst the members of the committee on how they should allot their funds.,their relationship was fraught with discord because they lacked communication skills.,discord over a boy caused the two girls to reevaluate their friendship.,"because they had differing views, the council experienced discord on how to proceed with the issue."
pedantic,"marked by a narrow focus on or display of learning especially its trivial aspects Professor Thompson was regarded as an expert in his field, but his lectures were utterly pedantic, focused on rigorous details of the most trivial conventions in the field.","sometimes, jason is so pedantic in writing the perfect paper that he forgets to properly manage his time.","as a grammar teacher, it is hard for me to not review everything with a pedantic eye.","while bess wants to encourage her daughter lauren to do well in school, she often gets too pedantic when reminding lauren of the rules and expectations.",my father is a pedantic man who usually misses all the vacation fun because he is busy reviewing travel documents.,greg’s pedantic way of analyzing every word in a sentence makes him a huge asset to the publishing company.
galvanize,to excite or inspire (someone) to action.,"because the charity wants to galvanize the public in support of its cause, it’s holding an open house to share its achievements and goals.","by holding a rally, the politician hoped to galvanize young people to vote.",the infection will galvanize your white blood cells and trigger your immune reactions.,do you think the child’s death will galvanize town residents to the point they will stand up to drug dealers?,the video of the man being hung is sure to galvanize all those who oppose racial prejudice.
jejune,dull; lacking flavor.,the billionaire couple refused to eat the jejune dish of chicken wings and tater tots.,"although evan behaved in a jejune manner at the dinner party, he actually teaches international customs at a school for diplomats.",i am very jejune and refuse to eat anything i cannot spell.,"while my peers laughed at my dress and called it jejune, my instructor gave my design the highest grade in the class.",the man’s 2006 computer is jejune when compared to my 2015 model.
hackneyed,lacking significance through having been overused.,"too often used by young girls, the word “like” has become hackneyed.","every time my internet goes down, the cable company gives me a hackneyed explanation.","although i like him as a talk show host, his hackneyed catchphrase is starting to get on my nerves!",the impersonator’s performance was made worse by his hackneyed impressions.,"eventually, the phrase became so hackneyed that people stopped saying it."
trenchant,"characterized by or full of force and vigor; having keenness and forcefulness and penetration in thought, expression, or intellect.",sometimes your tone of voice is so trenchant that you come across as being a mean person.,"although the movie’s plot is exciting, the dialogue is boring and needs to be polished until it is more trenchant.",marvin’s trenchant wit made him a popular speaker at conservative fundraisers.,"even though kate is a trenchant person who knows a great deal, she does not always think fast on her feet.",the scientist’s trenchant observations made him the toast of the scientific community.
maintain,to assert.,"in order to maintain my grades at school, i must study hard and complete all of my homework to ensure they stay a’s.","i have to work on my car at least once a week to maintain its level of operation, since all things fall apart if they are not taken care of.","if you want to maintain your lawn, you will need to mow the grass and water it frequently so it stays nice and fresh.","i want to maintain my current income, but to do that i must keep working the same hours that i do now.","it is easy to maintain a friendship with someone, but very difficult to take that friendship to the next level of love."
veracity,"(n) truthfulness, accuracy; habitual adherence to the truth","unless you get your information from a credible website, you should doubt the veracity of the facts until you have confirmed them elsewhere.",the police doubted the veracity of the suspect’s alibi.,"until james saw the pictures proving the veracity of his wife’s affair, he did not believe any of the rumors.",the teacher doubted the student’s veracity when he turned in a paper that had obviously been written by someone else.,"since the witness is a known enemy of the defendant, his testimony certainly needs to be evaluated for its veracity."
inkling,a slight suggestion or vague understanding.,"even after phil watched the teacher perform sample problems, he still had no inkling of how to complete the assignment.",i had an inkling the housekeeper was the killer after watching the show for only five minutes.,"as jill spoke to the police, she realized she had no inkling of who her mysterious boyfriend was.",the detective had an inkling the witness was lying because she kept avoiding his eye contact.,"if kurt had had an inkling the startup company would become so profitable, he would have purchased more shares."
unearth,"(v) dig up, uncover, expose","at an estate sale, i was able to unearth some dresses from the 1920s that had been hidden in an old trunk.",the scientists were able to unearth several fossils from the bottom of the river bed.,"i haven’t been able to unearth my grandmother’s recipe for pecan pie, but i did find out how she made peanut brittle.",only the pirates know where to dig to unearth their buried treasure.,"many men traveled west, hoping to unearth gold from the mines."
lassitude,a feeling of lack of interest or energy,"after the long race, jack experienced a feeling of lassitude.","this morning, lassitude is preventing me from getting out of bed.","when my doctor asked me to describe my symptoms, my main complaint was lassitude since i had very little energy.",the stress at work and the stress in her marriage caused liza to experience an extreme amount of lassitude which left her exhausted.,"because jim had tried so hard to make his marriage work, he felt only sadness and lassitude when it finally came to an end."
leery,openly distrustful and unwilling to confide.,the dog was leery of the man with the large stick.,"if you are leery of going into the old house alone, you should have a male friend accompany you.","in this day and age, computer viruses are everywhere so people should be leery of emails from strangers.",be leery of those too good to be true hotel offers because they are often timeshare scams.,voters are leery of politicians who promise to change the world overnight.
strut,"walk in a proud, confident way",the rooster would strut in the yard when trying to impress the hens.,"after he won the competition, he began his strut to the winner’s circle.","proud of her makeover, she would strut in front of the mirror for hours.","after the boy learned to walk, he would strut about the house proudly.",the groom couldn’t wait to strut onto the dance floor with his new bride.
sordid,involving ignoble actions and motives; arousing moral distaste and contempt; foul and run-down and repulsive.,"if people learn of the politician’s sordid past, they will not vote for him.",the movie described the sordid history of the mafia since 1950.,"to get publicity, the actress created a sordid but fake tale about childhood abuse.",the con artist had a sordid motive for being nice to the wealthy old man.,"as a man of god, i have no interest in being a part of your sordid plan!"
zeitgeist,spirit of the times.,the zeitgeist of the years preceding the war was a desire for isolation since no one wanted to get involved in an international crisis.,"if you want to understand the artistic zeitgeist of a particular era, you only have to look at the politics, movies, fashion, and music of that time.",the classic book about slavery depicts the zeitgeist of an era in which men felt entitled to own other men as property.,"every december, time attempts to capture the zeitgeist of an entire year in a single magazine issue.",the fashion designer’s new line takes us on a reflective journey through the zeitgeist of the 1930s.
transient,lasting a very short time.,the snow is transient and will melt as soon as the sun appears.,"if you are a transient person, you never remain in one place for too long.",the transient storm passed through our town rather quickly.,"because jack and his wife relocate from city to city looking for work, they are considered to be a transient couple.",the doctor says my son’s fever is transient and will break shortly.
surly,inclined to anger or bad feelings with overtones of menace.,the surly man was yelling at the waitress because he didn’t get the right order from the restaurant.,your usually cheerful dog may act surly if it has a splinter in its paw.,most people tend to act surly in the morning if they aren’t used to waking up early.,someone with a headache may have surly attitude if everyone around them is too loud.,the grinch had a surly attitude because his heart was three sizes too small.
lacerate,deeply hurt the feelings of; distress.,"putting a knife to the clerk, the robber threatened to lacerate his neck if he didn’t give up the money.","the depressed young woman used a blade to lacerate her own skin, claiming the cutting helped her to feel better.","using a scalpel to the lacerate the patient’s leg, the surgeon looked inside of the limb at the torn muscle.",most searched words (with,
quotidian,found in the ordinary course of events.,"as the days of celebration wore on, the formerly spectacular events began to seem more quotidian, and the king found himself yawning at the chariot races.","there is a precise schedule for taking care of quotidian tasks, but all your time is your own once you have completed them.",every year mrs. anderson is faced with the task of taking quotidian assignments from the curriculum and trying to make them stimulating for her students.,"even though the life of rock stars may seem exciting and glamorous, the days they spend traveling while on tour are as quotidian as yours and mine.","after the excitement of decorating her new home, janet made an attitude adjustment and got down to the quotidian chores of housekeeping."
abjure,formally reject or give up (as a belief).,"after the tyrant took over the country, the citizens had to abjure their political beliefs.","in order to marry the peasant he loved, the prince made the decision to abjure his title.","because john ignored his parents’ plea to abjure a life of crime, he ended up in prison by making bad choices.","although chocolate cake is martha’s favorite dessert, she has chosen to abjure it while on her diet.","because the lawyer felt his potential client was uncooperative, he decided to abjure the case and let another attorney handle it."
enhance,increase,the saleswoman told me the blue dress would enhance my lovely blue eyes.,"when jane paints her bedroom yellow, she is going to really enhance the room and make it appear brighter.",one of the best ways to enhance your vocabulary is by reading and discovering new words.,"if the picture does not enhance the look of your office, you should take it off the wall.",ian uses a combination of herbs and spices to enhance the taste of his baked ham.
polemic,a strong verbal or written attack on someone or something.,the political candidate posted a polemic on his blog that mocked his rival’s lack of community service.,"because i do not like to become involved in the conflicts of others, i refuse to listen to my office mate’s polemic about another employee.",the newspaper editor used his column to present a polemic that was a scathing attack against the city’s dishonest mayor.,"when the principal received an anonymous polemic about her leadership skills, she urged the writer to meet her face-to-face.",the cartoonist’s latest sketch is a polemic that illustrates the island dictator as a toddler who constantly has tantrums.
compound,"make more intense, stronger, or more marked.",the entire compound was secured by fences and security systems that served to protect all of those inside.,police were concerned that those living inside the compound were being held against their will.,"though there were many houses on the compound, only a few of them were equipped with running water and electricity.","approaching the compound, the soldier motioned for the gate to be opened and drove the tank onto the property.",the family compound was made up of several homes in which forty of the jeffersons lived.
abscond,"run away, often taking something or somebody along","since the boys could not pay for their meals, they decided to abscond before the waitress returned with their check.",do you think he has plans to abscond with the stolen money?,the greedy accountant was caught at the airport before he could abscond with the company’s profits.,"in order to avoid prosecution, marilyn decided to abscond to switzerland.","because she was driving without a license, elaine chose to abscond while the officer ran her car tag."
landmark,"(n, adj) object (such as a building) that stands out and can be used to navigate by; very important place, event, etc.","it wasn’t an x, but the small stone served as a landmark for the location of the buried treasure.",the little red school house was the only landmark the lost traveler remembered.,the highway sign served as a landmark and helped the unsure racers find their starting point.,two sycamore trees functioned as a landmark for those searching for the burial mound.,"pulling out his map and scanning the area, the tourist looked for a landmark to guide his way."
coda,the closing section of a musical composition,the final section of the song was sealed with a coda that sounded like an entirely different melody.,"because it is the concluding passage of the speech, the coda is the most well-remembered part.","wanting a memorable ending to her poem, the poet added a moving coda as the final stanza.",most searched words (with,
expansive,"communicative, and prone to talking in a sociable manner.","covering an expansive area, the search team looked high and low for the missing child.","the couple’s property stemmed out over an expansive area, extending all the way to the road and back to the river’s edge.",an expansive lot of land was partitioned off to build the gigantic stadium next year.,"although she loved her expansive mansion, the lady of the house dreaded cleaning the huge space.","encompassing over 50 acres, the expansive garden spreads through the river valley."
ornate,marked by elaborate rhetoric and elaborated with decorative details.,the uneducated man could not understand the ornate speech made by the ivy league professor.,"because the wedding dress is ornate with pearls and diamonds, it is valued at nearly half a million dollars.",every bedroom in the billionaire’s mansion is ornate with luxurious furnishings and classical works of art.,"since the engagement party is supposed to be a simple outdoor barbecue, we ask people to avoid dressing in an ornate manner.",the ornate gate is made of iron and trimmed in gold.
row,an angry dispute.,each row of corn was planted neatly in the field section by section.,"linda couldn’t figure out which row she parked in, so she had to look down every line.","the children were asked to stand in a row, placing themselves one behind the other.",a row of ducks quacked down the street in a single-file line.,"after the crash, a row of cars was backed up on the busy street."
sporadic,recurring in scattered and irregular or unpredictable instances.,"since my father left my mother and me twenty years ago, he has made sporadic appearances in my life.",the doctor decided to hospitalize my mother because of her sporadic heartbeat.,sporadic gas shortages are making the summer miserable for many travelers.,"over the years, many singers have discovered success can be sporadic.","as a result of the storm, planes are leaving the airport at a sporadic pace."
superfluous,serving no useful purpose.,isn't it superfluous to have 20 pairs of shoes when you only wear the same 5 pairs?,it's superfluous to say something is both necessary and useful.,"because i have already answered your question several times, answering it again would be superfluous.","because the recipe is annoying me with superfluous details, such as adding in a sprig of rosemary, i'm trying another.",my new shoes were delivered in a box 5 times the size of the shoes themselves — talk about superfluous packaging!
circumvent,cleverly find a way out of one's duties or obligations.,"often, pilots will circumvent the rain by flying above the clouds.",the burglar tried to find a way to circumvent the alarm system.,"because the man wanted to circumvent the immigration laws, he snuck into the country inside of a shipping truck.",how would your circumvent our old electrical system when installing our new oven?,"in order to sneak out of the house, the teenage girl knew she had to circumvent her parents who were in the living room."
grovel,show submission or fear.,the dog was willing to grovel for the biscuit.,"when rick won the lottery, all of his distant relatives started to grovel for his winnings.",the selfish king is amused when poor people grovel at his feet and ask for favors.,"because i refuse to grovel for anyone, i did not beg the politician for a personal favor.",money hungry women will grovel to get what they want from wealthy men.
juggernaut,a force that cannot be stopped.,"with over a billion hits each day, google is the juggernaut of search engines.",who knew the reality show about the hillbillies would become a juggernaut as the most heavily watched program in the nation?,"because our football team has gone undefeated for two years, our competitors view us as a juggernaut.",the company predicts its unique mobile phone will become a bestseller and make it a juggernaut in the phone market.,once the retail chain builds ten more stores it will be a juggernaut because it will have more stores than its rivals.
turpitude,depravity; a depraved act.,"in less than an hour, the judge decided to execute the killer for his moral turpitude.",the criminal was sentenced to life in prison for the acts of turpitude he committed.,"although james is not guilty of carrying out any forms of turpitude, he is far from being a choirboy.",jason did not get the job because he lied when he denied a past arrest regarding his participation in turpitude.,"if you commit acts of moral turpitude, you may find it difficult to get employment as a law enforcement officer."
ostracize,exclude from a community or group.,"as a teacher, your job is not to ostracize your students but to show them support so they can become contributing members of society.","sadly, the rich children ostracize the other girl because she comes from a poor family.","although margie was not responsible for the court’s decision in her favor, she knows the people on the other side of the courtroom will still ostracize her.","can you believe that country still has laws, which allow it to ostracize people of the christian faith and treat them like second-class citizens?",only a cruel teacher would ostracize a special needs child and not allow him to interact with other students.
pedestrian,lacking imagination.,a large number of people fell asleep during the pedestrian play.,"if the book’s plot is pedestrian, then readers will quickly grow tired of the boring story.",i couldn’t help but yawn as i watched the pedestrian film.,"despite the glowing reviews of the hotel’s architecture, i found the establishment to be pedestrian and completely uninspiring in its design.","because jim found pedestrian life to be be extremely boring, he couldn’t wait to move back to the big city."
poignant,emotionally touching.,"because the poignant movie reminded me of my painful childhood, it made me cry.",water pollution is a poignant example of how little people care about our environment.,"since my mother’s death, looking at her pictures has become a very poignant experience for me.",the book’s ending was poignant and caused me to reflect upon my own family life.,"when the principal announced he would be leaving the school after thirty years, there was a poignant silence in the auditorium."
redress,an act of making something right.,kate demanded redress from the builder when her deck collapsed.,"if jim is not paid the money he is owed, he will go to court to seek redress.",the company hopes to redress the victim’s injury by paying out a million dollar settlement.,"when i hired the attorney, i hoped he could help me get redress from the rental company that had evicted me without valid cause.",the manager gave me a free meal as redress for the awful service i received in his restaurant.
adulterate,make impure by adding a foreign or inferior substance,"if you want to adulterate your alcoholic drink, you should add some water to it.",the restaurant was fined for trying to adulterate the beef with cheap meats.,the evil pharmacist was arrested after he tried to adulterate the cancer medicines for profit.,"as the parent of a young child, i often adulterate the apple juice in my house with water.","because i have worked hard to become a respected person, it would concern me greatly if someone tried to adulterate my reputation with lies."
glean,collect information bit by bit.,"from several library resources, sara was able to glean enough information to write her research paper.",i was not able to glean much information from my uncle’s intoxicated ramblings.,"during my chat with the famous educator, i was able to glean a wealth of knowledge about teaching.",the researchers were able to glean a great deal of information about the medicine’s effects during the experiment.,"to glean information on current events, susan watches news channels as often as she can."
precipitous,done with very great haste and without due deliberation.,"because richard never thinks about the consequences of his precipitous actions, he often ends up in jail.",you should think before you do precipitous stunts that endanger your life!,"before the colonel makes a precipitous decision, he must consider the number of lives he might lose in battle.",taylor made the precipitous mistake of agreeing to babysit before she checked her schedule.,"as janet watched her car get repossessed, she started to regret her precipitous decision to quit her job."
empirical,derived from experiment and observation rather than theory,our data is based on empirical evidence collected in numerous studies.,"because there was no empirical link between the suspect and the victim, the prosecutor found it hard to make a provable case.","using empirical analysis, the researchers were able to identify the components of the unusual chemical compound.",the judge asked the members of the jury to only pay attention to the empirical evidence.,"until you get empirical proof my husband is not telling the truth, i am not interested in hearing your opinion about him!"
pervasive,spreading or spread throughout,the media’s pervasive coverage of the epidemic has most of the country living in fear.,"in many cities, police corruption is a pervasive issue that touches all communities.",voters are concerned about the pervasive rate of unemployment that is harming both the rich and the poor.,"because jack’s mother knows injuries are pervasive in boxing, she is urging him to pursue another sport.",the movie’s pervasive sex and violence caused the critics to give it an r rating.
goosebumps,"(n) the bumps created by hairs standing up on the skin in response to cold, fear, etc.",she got goosebumps whenever her crush whispered in her ear.,the audience got goosebumps when they heard the haunting opera singer’s beautiful voice.,she shivered in the cold and rubbed her arms up and down to get rid of the goosebumps.,her heart stopped and goosebumps flooded her skin when she heard a door slam in her empty house.,the teens always got goosebumps when they watched horror films.
banality,a trite or obvious remark.,"with white walls and a cookie-cutter layout of the house, the banality of the house caused few potential buyers.",no tourists would ever frequent the new tourist trap due to the banality of its appearance since no money was put into making it look nice.,"when the girl wore the same t-shirt and jeans every day to school, the banality of her appearance caused boys to ignore her.",most searched words (with,
inveterate,habitual.,ginger is an inveterate reader who always has a book in her hands.,mark is an inveterate liar who could not tell the truth even if you paid him.,"although hank was an inveterate peacemaker, he did not function well in his job as a mediator.","because janet was an inveterate traveler, it seemed as though she lived at the airport.","as a nurse, abigail has an inveterate desire to help others."
abstain,"choose not to consume or take part in (particularly something enjoyable) Considered a health nut, Jessica abstained from anything containing sugar--even chocolate.","because of my health, i am going to abstain from the consumption of alcoholic beverages.",janet will abstain from smoking while she is pregnant.,"if you want to lose weight, you should abstain from large amounts of junk food.",i will give my husband one hundred dollars if he can abstain from using profanity for a week.,"since my sister has chosen to abstain from eating red meat, i will not be serving any beef dishes at my party."
cogent,clear and persuasive.,"when the homebuilder did not provide me with a cogent answer to my question, i knew he was not the right person to build my family home.",i had no trouble believing the doctor's cogent statement about my strong need for the surgery.,"an experienced speaker, john knew how to deliver a cogent presentation that would easily engage his audience.",the angry husband hired a detective to find cogent proof of his wife's extramarital affair.,"as you speak to the sick and elderly, try and make all of your statements cogent so they will not have to struggle to accept your ideas."
germane,relevant and appropriate.,"since we were running out of time, our professor asked us to limit our questions to those germane to today’s lecture.",i do not have to answer your questions because they are not germane to the case!,"if you post anything other than germane comments beneath this article, you will be banned from the site.",the president will only respond to media questions that are germane to the economic crisis.,"although phil made some interesting points, he did not offer anything germane to our discussion."
economical,"avoiding waste, efficient.",it is more economical to purchase an electric vehicle because you can spend less money on gasoline as you drive.,"because it is expensive to eat at a restaurant every day, it is more economical to buy groceries and make your own meals.","because i only have twenty dollars in my allowance every month, i have to be extremely economical in what i buy so it will last.","it is not considered economical to take out loans and buy things you can’t truly afford, since you still have to pay those loans back.",many combo meals you can buy at fast food joints are economical because they offer more food than a regular order for only slightly more money.
static,"(adj) fixed, not moving or changing, lacking vitality","since the webpage is static, its content will not change.",my ip address never alters because it is static.,"because the stage is so small, our characters will only interact in one static setting.",my father’s response was static and did not change despite my pleas.,"after listening to my teacher’s static lecture three days in a row, i knew every part of her speech."
thrifty,spending money wisely.,the thrifty family decided to have a garage sale to bring in extra income.,"because he was thrifty, the man decided to use coupons for shopping.","not wanting to spend more than necessary, the thrifty woman purchased an item second-hand.",the debt counselor hosted a seminar on becoming thrifty.,it would be a thrifty holiday for the family since the mother lost her job.
embryonic,in an early stage of development.,"our company is still in its embryonic stage, having just started and having a lot of room to grow and expand.","i have an idea for a book, but it is still in its embryonic stage and i need to put a lot more thought into it before it is ready.",an embryonic idea is one that you just came up with that still needs to develop a little more before it is ready to be used.,"the idea of freedom and justice for all was still embryonic during the american revolution, and it would be many years before that idea grew to maturity.","our relationship is still embryonic since we have just met, but i am sure that it will grow into a great friendship in time."
truculent,"having a fierce, savage nature.","when my uncle drinks too much, he becomes very truculent and will fight anyone.",why are you in such a truculent mood that you want to argue with everyone today?,"on monday, the truculent bully made the mistake of starting a fight with someone who could hit harder than him.",my truculent boyfriend is in a bad mood because i did not respond to his text message last night.,"if your dream is to be a police officer, then you must work on your quick-temper and stop being so truculent."
idiosyncrasy,a behavioral attribute that is distinctive and peculiar to an individual.,her worst idiosyncrasy involved repeating back every word that was said to her.,"while my father had many peculiar habits, his biggest idiosyncrasy was collecting his own toenail clippings.",your idiosyncrasy of always wearing a red hat makes you look ridiculous,"frustrated by his wife’s idiosyncrasy of following him around town, jerry filed for divorce two months after his wedding.",the home’s colorful idiosyncrasy made it stand out in the neighborhood of white houses.
ingrained,"(adj) deep-rooted, forming part of the very essence; worked into the fiber",being right-handed was ingrained in me so that it was very difficult to write with my left hand.,"my morning routine was ingrained in me so much so that if i missed a step, it threw off my entire day.",the new teacher wanted her rules and procedures ingrained in her students in order to promote a smoothly run classroom.,"when i learned my times table, my mother played a song to help me memorize the numbers until they were ingrained in my memory.",it was ingrained in me to always use my turn signal while driving.
laud,"praise, glorify, or honor",the company decided to laud jack’s outstanding contributions to the firm.,"in order to laud the birth of jesus christ, many people celebrate christmas.",the critic will laud the popular movie as one of the best of its time.,"because the soldier saved the president, everyone is going to laud him at a huge event.",many people laud the scientist for discovering the cure for the deadly disease.
intelligible,"(adj) able to understood, clear","because the intoxicated man slurred his words, his speech was far from intelligible.",the music sounded weird and was not intelligible as it came out of the defective speakers.,"despite being extremely nervous, jim gave an intelligible presentation that was very engaging.",a speech coach will teach the unpolished political candidate how to give intelligible responses during the debate.,"because ron’s speech was not intelligible after his stroke, he used pen and paper to communicate."
objective,"(adj) factual, related to reality or physical objects; not influenced by emotions, unbiased",the objective of my resume is to obtain a position in the company’s quality assurance department.,obviously the objective of the maximum-security prison is to keep all inmates imprisoned.,the objective of the video game is to eliminate the witch’s henchmen and rescue the princess.,"if matt passes five out of six classes, he will have met the objective for promotion to the seventh grade.",the objective of the triage unit is to assess an individual’s need for emergency treatment.
fickle,"liable to sudden unpredictable change, esp.",the fickle weather soon had me changing from my shorts into my thick slacks.,"because john is such a fickle man, he will probably never settle down with one woman.","the fickle little boy could not decide if he wanted the yellow sucker, the green sucker, or the red sucker.","once we arrived at the movie theater, my fickle sister could not decide which movie she wanted to see.",sally is so fickle it takes nearly an hour for her to choose an item from the restaurant menu.
